"","Q13C","Q18AA","Q18AB","Q20","Q21","Q22","Q23A","Q23B","Q23C","Q23D","Q24","Q25","Q26","Q27","Q29","Q29A","Education","AgeCat","PoliticalPartyAffiliation","Income","PoliticsGeneral","Married"
"16","No, law does not do this","Very important","Somewhat important","Support","The woman herself (or)","Very important","(DO NOT READ) Don't know","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Now want to stop all payments to Planned Parenthood","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","45-54","Indep lean Rep","$40,000 to less than $50,000","Conservative","Married"
"17","Yes, the law does this","Very important","Very important","Support","The government (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","45-54","Democrat","$40,000 to less than $50,000","Liberal","Married"
"18","No, law does not do this","Very important","Very important","Support","The government (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","65+","Democrat","$50,000 to less than $75,000","Liberal","Married"
"19",NA,"Not at all important","Very important","Support","The woman herself (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","45-54","Indep/Don't lean","Less than $20,000","Liberal","Never been married"
"20",NA,"(DO NOT READ) Refused","Very important","Support","The woman herself (or)","Not too important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","65+","Republican","$40,000 to less than $50,000","Moderate","Divorced"
"21","Yes, the law does this","Not too important","Very important","Oppose","The woman herself (or)","Somewhat important","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","High school incomplete (Grades 9-11 or Grade 12 with no diploma)","65+","Indep/Don't lean","Less than $20,000","Moderate","Divorced"
"22",NA,"Very important","Very important","Support","The government (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","45-54","Democrat","$90,000 to less than $100,000","Liberal","Married"
"23",NA,"Somewhat important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","65+","Indep lean Dem","$100,000 or more","Liberal","Married"
"24",NA,"Very important","Very important","Support","The woman herself (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Now oppose","Some college, no degree (includes some community college)","45-54","Indep lean Rep","Less than $20,000","Liberal","Living with a partner"
"25",NA,"Not at all important","Very important","(DO NOT READ) Refused","The woman herself (or)","Somewhat important","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Oppose",NA,"Some college, no degree (includes some community college)","55-64","Republican","$100,000 or more","Conservative","Married"
"26",NA,"Very important","Very important","Support","The woman herself (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","65+","Democrat","(DO NOT READ) Don't know/Refused","Liberal","Widowed"
"27","(DO NOT READ) Don't know","Somewhat important","Very important","Oppose","The woman herself (or)","Somewhat important","No, Planned Parenthood does not provide","(DO NOT READ) Don't know","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Now want to stop all payments to Planned Parenthood","Support","Still support","High school graduate (Grade 12 with diploma or GED certificate)","45-54","Democrat","$100,000 or more","Moderate","Married"
"28","Yes, the law does this","Very important","Very important","Support","The government (or)","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Now want to stop all payments to Planned Parenthood","Support","Now oppose","Some college, no degree (includes some community college)","65+","Republican","Less than $20,000","Liberal","Widowed"
"29","Yes, the law does this","Somewhat important","Very important","Oppose","The woman herself (or)","Somewhat important","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Now want to keep payments to Planned Parenthood for non-abortion services",NA,"Support","Still support","Two year associate degree from a college or university","65+","Republican","(DO NOT READ) Don't know/Refused","Conservative","Married"
"30","(DO NOT READ) Don't know","Not too important","Somewhat important","Oppose","The woman herself (or)","Not too important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Now want to stop all payments to Planned Parenthood","Support","Now oppose","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","65+","Indep lean Rep","$50,000 to less than $75,000","Moderate","Married"
"31",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Skipped","Skipped","(DO NOT READ) Never heard of Planned Parenthood","Skipped","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Oppose",NA,"High school graduate (Grade 12 with diploma or GED certificate)","65+","Indep/Don't lean","(DO NOT READ) Don't know/Refused","Conservative","Widowed"
"32",NA,"Not too important","Very important","Oppose","(DO NOT READ) None of these/someone else","Somewhat important","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Now want to keep payments to Planned Parenthood for non-abortion services",NA,"Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","65+","Republican","$100,000 or more","Conservative","Widowed"
"33",NA,"Not too important","Very important","Oppose","The woman herself (or)","Should not be done","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","45-54","Republican","$50,000 to less than $75,000","Conservative","Married"
"34","Yes, the law does this","Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","(DO NOT READ) Don't know","High school graduate (Grade 12 with diploma or GED certificate)","65+","Democrat","(DO NOT READ) Don't know/Refused","Moderate","Married"
"35",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","45-54","Democrat","$50,000 to less than $75,000","Conservative","Married"
"36",NA,"Not at all important","Somewhat important","Oppose","The woman herself (or)","Should not be done","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Oppose",NA,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","55-64","Indep lean Rep","$100,000 or more","Conservative","Married"
"37",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"(DO NOT READ) Don't know","Support","Now oppose","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","65+","Indep lean Dem","$50,000 to less than $75,000","Conservative","Married"
"38","Yes, the law does this","Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","(DO NOT READ) Don't know","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","65+","Democrat","(DO NOT READ) Don't know/Refused","Liberal","Widowed"
"39",NA,"Very important","Very important","Support","(DO NOT READ) Don't know","Somewhat important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Stop all federal payments to Planned Parenthood","Now want to keep payments to Planned Parenthood for non-abortion services",NA,"Support","(DO NOT READ) Don't know","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","35-44","Indep lean Dem","$50,000 to less than $75,000","Moderate","Married"
"40",NA,"Not at all important","Very important","Oppose","The woman herself (or)","Somewhat important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Now want to stop all payments to Planned Parenthood","Oppose",NA,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","45-54","Indep/Don't lean","$100,000 or more","Moderate","Widowed"
"41","Yes, the law does this","Very important","Very important","Support","The insurance company (or)","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Now oppose","Some college, no degree (includes some community college)","45-54","Democrat","$50,000 to less than $75,000","Liberal","Married"
"42",NA,"Very important","Very important","Support","The insurance company (or)","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","High school graduate (Grade 12 with diploma or GED certificate)","65+","Democrat","$20,000 to less than $30,000","Conservative","Married"
"43","Yes, the law does this","Very important","(DO NOT READ) Refused","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Now want to stop all payments to Planned Parenthood","Support","Now oppose","High school graduate (Grade 12 with diploma or GED certificate)","65+","Republican","Less than $20,000","Conservative","Widowed"
"44",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","65+","Democrat","$50,000 to less than $75,000","Liberal","Married"
"45",NA,"Very important","Very important","Support","The government (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","55-64","Democrat","$100,000 or more","Liberal","Married"
"46","No, law does not do this","Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Still support","Some college, no degree (includes some community college)","65+","Republican","$90,000 to less than $100,000","Conservative","Married"
"47",NA,"Very important","Very important","Support","The government (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","High school graduate (Grade 12 with diploma or GED certificate)","65+","Democrat","Less than $20,000","(DO NOT READ) Don't know/Refused","Separated"
"48",NA,"Not too important","Very important","Oppose","The woman herself (or)","Should not be done","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Still support","Some postgraduate or professional school, no postgraduate degree","45-54","Republican","$100,000 or more","Conservative","Married"
"49",NA,"Very important","Very important","Support","The government (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","45-54","Republican","$20,000 to less than $30,000","Liberal","Never been married"
"50",NA,"Somewhat important","Very important","Oppose","The government (or)","Very important","(DO NOT READ) Don't know","(DO NOT READ) Don't know","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Now oppose","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","65+","Indep lean Dem","$40,000 to less than $50,000","Liberal","Married"
"51","Yes, the law does this","Very important","Very important","Support","The woman herself (or)","Not too important","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Now want to stop all payments to Planned Parenthood","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","45-54","Democrat","$100,000 or more","Liberal","Married"
"52",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","45-54","Democrat","$100,000 or more","Liberal","Married"
"53",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","55-64","Indep lean Dem","$100,000 or more","Moderate","Married"
"54","Yes, the law does this","Somewhat important","Very important","Support","The woman herself (or)","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Now oppose","High school graduate (Grade 12 with diploma or GED certificate)","25-34","Indep lean Dem","Less than $20,000","Moderate","Never been married"
"55",NA,"Not at all important","Very important","Oppose","The woman herself (or)","Not too important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","(DO NOT READ) Don't know",NA,NA,"Support","Now oppose","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","45-54","Indep lean Rep","(DO NOT READ) Don't know/Refused","Conservative","Married"
"56","(DO NOT READ) Don't know","Somewhat important","Very important","Support","The woman herself (or)","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Still support","Some college, no degree (includes some community college)","55-64","Indep lean Dem","$30,000 to less than $40,000","Conservative","Divorced"
